Population,ID,Unnamed: 2,Unnamed: 3,NET ID,Area,Unnamed: 6,KUR ID,Area.1,Unnamed: 9,YER ID,Area.2
NET,3,Blue,,3.0,Blue,,155.0,Blue,,1,Middle - stream
NET,10,Blue,,10.0,Blue,,156.0,Blue,,2,Middle - stream
NET,10,Blue,,29.0,Red,,151.0,Blue,,3,Middle - stream
NET,29,Red,,34.0,Red,,174.0,Blue,,4,Middle - stream
NET,34,Red,,47.0,Green,,153.0,Blue,,5,Middle - stream
NET,47,Green,,49.0,Green,,150.0,Blue,,6,Middle - stream
NET,49,Green,,51.0,Green,,176.0,Blue,,7,Middle - stream
NET,51,Green,,56.0,Pink,,154.0,Blue,,8,Middle - stream
NET,51,Green,,73.0,Pink,,171.0,Blue,,9,Middle - stream
NET,51,Green,,77.0,Orange,,179.0,Blue,,10,Middle - stream
NET,51,Green,,80.0,Orange,,149.0,Blue,,11,Middle - stream
NET,51,Green,,87.0,Blue,,172.0,Blue,,12,Middle - stream
NET,56,Pink,,104.0,Blue,,158.0,Blue,,13,Middle - stream
NET,56,Pink,,115.0,Blue,,157.0,Blue,,14,Middle - stream
NET,56,Pink,,116.0,Blue,,182.0,Blue,,15,Middle - stream
NET,56,Pink,,130.0,Brown,,183.0,Blue,,16,Middle - stream
NET,56,Pink,,144.0,Orange,,189.0,Blue,,17,Middle - stream
NET,73,Pink,,156.0,Green,,190.0,Blue,,18,Middle - stream
NET,77,Orange,,158.0,Blue,,193.0,Blue,,19,Middle - stream
NET,77,Orange,,162.0,Blue,,194.0,Blue,,20,Middle - stream
NET,80,Orange,,165.0,Blue,,195.0,Blue,,21,Middle - stream
NET,87,Blue,,174.0,Blue,,196.0,Blue,,22,Middle - stream
NET,104,Blue,,175.0,Blue,,199.0,Blue,,23,Middle - stream
NET,104,Blue,,176.0,Blue,,201.0,Blue,,24,Middle - stream
NET,115,Blue,,234.0,Orange,,202.0,Blue,,25,Middle - stream
NET,116,Blue,,902.0,Orange,,204.0,Blue,,26,Middle 
NET,130,Brown,,907.0,Green,,207.0,Blue,,27,Middle 
NET,144,Orange,,908.0,Red,,152.0,Yellow,,28,Middle 
NET,156,Green,,910.0,Red,,135.0,Yellow,,29,Middle 
NET,158,Blue,,911.0,Green,,140.0,Yellow,,30,Middle 
