Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Genotype,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Size category,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight,Unnamed: 28,Unnamed: 29,Area,NET ID,No. flowers,Unnamed: 33,NO.,Group,Unnamed: 36,Unnamed: 37,ID.2,Size,No. flowers.1,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,ID.3,Unnamed: 47,Size.1,No. flowers.2,Location,Unnamed: 51,Unnamed: 52,Unnamed: 53,ID.4,Unnamed: 55,Size.2,No. flowers.3,Location.1,Unnamed: 59,Yer-BASECAMP,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,ID.5,Unnamed: 70,Size.3,No. flowers.4,Location.2,Unnamed: 74,Unnamed: 75,Location.3,ID.6,Unnamed: 78,Size.4,No. flowers.5,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Area.1,NET ID.1,Tag,No. of flowers,Unnamed: 91,Area.2,NET ID.2,Tag.1,No. of flowers.1
68,53,I.atropurpurea,KUR,2023-03-01,159,1,KUR_159.1,49.7,48.3,1.028985507246377,2400.51,24.005100000000002,,24.5,9.2,8.8,159,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Blue,3.0,3.0,,1.0,Blue,,,47.0,23.712,17.0,,,,,,47,S,23.712,17.0,Middle - right,,<27.6,S,7,S,23.8632,5.0,Middle - stream,,1,Middle - stream,,,,,,,,181,L,43.29280000000001,9.0,Hill - left,,,Hill - left,181,L,43.29280000000001,9.0,<27.6,S,,,,,Blue,3.0,V,3.0,,Blue,108.0,V,3-5
90,3,I.atropurpurea,KUR,2023-02-14,184,1,KUR_184.1,85.35,65.9,1.2951441578148708,5624.5650000000005,56.245650000000005,,25.1,9.6,8.6,184,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Blue,10.0,3.0,,2.0,Blue,,,99.0,25.207999999999995,8.0,,,,,,234,S,26.51,17.0,Hill - Middle,,27.6-34.5,M,10,L,36.993,10.0,Middle - stream,,2,Middle - stream,,,,,,,,193,M,33.9834,7.0,Hill - left,,,Hill - left,185,L,39.253499999999995,6.0,27.6-34.5,M,,,,,Blue,10.0,V,3.0,,Blue,109.0,Plastic,8
166,114,I.atropurpurea,KUR,2023-03-13,209,1,KUR_209.1,71.2,55.5,1.2828828828828829,3951.6000000000004,39.516,,26.4,12.5,9.9,209,13.0,4.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,Red,29.0,2.0,,3.0,Blue,,,234.0,26.51,17.0,,,,,,99,S,25.207999999999995,8.0,Hill - Middle,,>34.5,L,17,S,24.0408,3.0,Middle - stream,,3,Middle - stream,,,,,,,,YER918,M,32.660599999999995,7.0,Hill - left,,,Hill - left,193,M,33.9834,7.0,>34.5,L,,,,,Blue,87.0,Ribbon,2.0,,Blue,111.0,Plastic,6
153,93,I.atropurpurea,KUR,2023-03-08,204,1,KUR_204.1,75.7,64.7,1.170015455950541,4897.79,48.977900000000005,,33.0,11.3,8.6,204,12.0,6.0,6.0,1.0,0.0,1.0,,,,,,,Red,34.0,2.0,,4.0,Blue,,,60.0,27.9,6.0,,,,,,7,S,23.8632,5.0,Middle - stream,,,Extra,18,S,25.7516,5.0,Middle - stream,,4,Middle - stream,,,,,,,,185,L,39.253499999999995,6.0,Hill - left,,,Hill - left,195,L,38.004599999999996,6.0,,Extra,,,,,Blue,104.0,Ribbon,4.0,,Blue,119.0,V,8
163,109,I.atropurpurea,KUR,2023-03-13,207,1,KUR_207.1,69.8,67.7,1.0310192023633677,4725.46,47.2546,,29.9,10.4,8.7,207,10.0,2.0,8.0,0.0,,,0.0,0.0,0.0,0.0,,,Green,47.0,6.0,,5.0,Blue,,,168.0,27.9832,6.0,,,,,,66,S,25.1,5.0,Hill - Middle,,,,21,L,36.6972,5.0,Middle - stream,,5,Middle - stream,,,,,,,,195,L,38.004599999999996,6.0,Hill - left,,,Hill - left,232,M,28.836000000000002,6.0,,,,,,,Blue,115.0,V,1.0,,Blue,169.0,GPS,4
102,11,I.atropurpurea,KUR,2023-02-23,188,1,KUR_188.1,57.8,52.0,1.1115384615384616,3005.6,30.055999999999997,,23.6,14.2,5.7,188,9.0,2.0,7.0,1.0,0.0,1.0,1.0,27.0,532.0,19.703703703703702,,,Green,49.0,2.0,,6.0,Blue,,,232.0,28.836000000000002,6.0,,,,,,18,S,25.7516,5.0,Middle - stream,,,,30,M,32.9467,6.0,Middle ,,6,Middle - stream,,,,,,,,232,M,28.836000000000002,6.0,Hill - left,,,Hill - left,YER918,M,32.660599999999995,7.0,,,,,,,Blue,116.0,Plastic,2.0,,Blue,171.0,V,6
126,37,I.atropurpurea,KUR,2023-03-01,195,1,KUR_195.1,62.1,51.1,1.2152641878669277,3173.31,31.7331,,28.3,10.8,9,195,9.0,6.0,3.0,1.0,,,0.0,0.0,0.0,0.0,,,Green,51.0,18.0,,7.0,Blue,,,217.0,30.24,5.0,,,,,,65,S,18.603,4.0,Hill - Middle,,,,39,L,62.822399999999995,6.0,Middle ,,7,Middle - stream,,,,,,,,234,S,26.51,17.0,Hill - Middle,,,Hill - Middle,53,M,34.394,8.0,,,,,,,Blue,158.0,V,1.0,,Brown,136.0,Ribbon,5
119,29,I.atropurpurea,KUR,2023-03-01,193,1,KUR_193.1,54.3,68.7,0.7903930131004366,3730.41,37.3041,,29.7,14.6,6.3,193,8.0,4.0,4.0,,0.0,,,,,,,,Pink,56.0,9.0,,8.0,Blue,,,157.0,30.364600000000003,7.0,,,,,,YER902,S,19.7829,4.0,Hill - Middle,,,,43,S,21.228199999999998,4.0,Middle - right,,8,Middle - stream,,,,,,,,53,M,34.394,8.0,Hill - Middle,,,Hill - Middle,54,L,43.32900000000001,8.0,,,,,,,Blue,162.0,V,5.0,,Brown,155.0,Plastic,6
98,8,I.atropurpurea,KUR,2023-02-23,187,1,KUR_187.1,73.7,69.0,1.0681159420289856,5085.3,50.853,,26.4,13.3,8.8,187,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Pink,73.0,1.0,,9.0,Blue,,,161.0,30.451299999999996,7.0,,,,,,43,S,21.228199999999998,4.0,Middle - right,,,,47,S,23.712,17.0,Middle - right,,9,Middle - stream,,,,,,,,54,L,43.32900000000001,8.0,Hill - Middle,,,Hill - Middle,57,M,34.262800000000006,8.0,,,,,,,Blue,165.0,V,6.0,,Orange,148.0,V,4
58,85,I.atropurpurea,KUR,2023-03-08,140,1,KUR_140.1,65.9,49.5,1.3313131313131314,3262.05,32.62050000000001,,25.4,14.4,6,140,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Orange,77.0,9.0,,10.0,Blue,,,179.0,31.1922,5.0,,,,,,137,S,23.927400000000002,4.0,Left,,,,53,M,34.394,8.0,Hill - Middle,,10,Middle - stream,,,,,,,,57,M,34.262800000000006,8.0,Hill - Middle,,,Hill - Middle,60,M,27.9,6.0,,,,,,,Blue,174.0,V,3.0,,Orange,905.0,V,8
