Entry,Entry_species,Species,Population,Date,Days,Day_fl,ID,Flower_No.,Genotype,Area,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,Seeds,Relative fitness_seeds,Weight,Avg.weight,Fruit_set,Relative fitness_pop,Relative fitness_all,Seed_set_gen,Rel.fit.seeds.gen,Seed_set_efficiency,Rel.fit.seed.efficiency,Unnamed: 38,Unnamed: 39,AVG. Seeds,AVG. Fruit_set,AVG. Seed_set,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
1,23,I.atropurpurea,NET,2023-02-26,13,14,3,1,NET_3.1,Blue,63.4,55.0,1.1527272727272726,3487.0,34.87,,,,3,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,NET Avg fitness,3.7555555555555555,0.1311111111111111,,,Row Labels,Sum of Seeds,,,,,,,,
2,24,I.atropurpurea,NET,2023-02-26,13,14,10,1,NET_10.1,Blue,96.0,78.5,1.2229299363057324,7536.0,75.36,31.6,11.1,7.4,10,3.0,2.0,1.0,1.0,0.0,1.0,1.0,14.0,3.727810650887574,1008.5,72.03571428571429,0.3333333333333333,2.5423728813559325,5.241190102850821,,,,,,KUR Avg fitness,1.5047619047619047,0.08554550025138262,,,KUR,158,,,,,,,,
3,36,I.atropurpurea,NET,2023-03-05,20,21,10,2,NET_10.2,Blue,77.1,63.4,1.2160883280757098,4888.139999999999,48.88139999999999,26.7,14.0,8.8,10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,YER Avg fitness,15.883161512027492,0.6704732581737928,,,135,0,,,,,,ID2,(All),
4,46,I.atropurpurea,NET,2023-03-05,20,21,29,1,NET_29.1,Red,61.0,57.2,1.0664335664335665,3489.2000000000003,34.892,,,,29,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,136,0,,,,,,,,
5,35,I.atropurpurea,NET,2023-02-26,13,14,34,1,NET_34.1,Red,62.5,59.7,1.0469011725293131,3731.25,37.31250000000001,31.0,12.5,6.6,34,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,All,,0.4850754945852983,,,139,0,,,,,,Row Labels,Sum of Marked,Average of Multiplied_cm
6,44,I.atropurpurea,NET,2023-03-05,20,21,47,1,NET_47.1,Green,57.5,53.4,1.0767790262172285,3070.5,30.705,,,,47,6.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.2711864406779663,2.6205950514254104,,,,,,,,,,,140,0,,,,,,KUR,117,36.6092782051282
7,13,I.atropurpurea,NET,2023-02-21,8,9,49,1,NET_49.1,Green,74.6,65.7,1.1354642313546421,4901.22,49.0122,26.0,17.3,7.2,49,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,145,0,,,,,,135,1,37.37029999999999
8,9,I.atropurpurea,NET,2023-02-21,8,9,51,1,NET_51.1,Green,89.7,75.0,1.196,6727.5,67.275,32.8,17.2,11.9,51,18.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,147,0,,,,,,136,1,48.822399999999995
9,10,I.atropurpurea,NET,2023-02-21,8,9,51,2,NET_51.2,Green,88.4,73.2,1.2076502732240437,6470.880000000001,64.7088,31.5,17.8,9.9,51,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,155,0,,,,,,139,3,36.36259999999999
10,11,I.atropurpurea,NET,2023-02-21,8,9,51,3,NET_51.3,Green,76.6,77.8,0.9845758354755784,5959.48,59.59479999999999,31.5,18.0,1.1,51,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,159,0,,,,,,140,5,24.578880000000005
11,12,I.atropurpurea,NET,2023-02-21,8,9,51,4,NET_51.4,Green,98.2,81.5,1.2049079754601226,8003.3,80.033,35.0,18.5,12.1,51,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,162,0,,,,,,145,1,35.6304
12,34,I.atropurpurea,NET,2023-02-26,13,14,51,5,NET_51.5,Green,56.9,62.1,0.9162640901771336,3533.49,35.3349,26.9,15.8,7.5,51,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,163,0,,,,,,147,2,50.12365
13,5,I.atropurpurea,NET,2023-02-13,0,1,56,1,NET_56.1,Pink,68.3,65.7,1.039573820395738,4487.31,44.8731,30.4,17.8,5.1,56,9.0,5.0,4.0,3.0,0.0,3.0,1.0,13.0,3.4615384615384617,758.9,58.37692307692308,0.3333333333333333,2.5423728813559325,5.241190102850821,,,,,,,,,,,165,0,,,,,,155,2,33.11085
14,14,I.atropurpurea,NET,2023-02-21,8,9,56,2,NET_56.2,Pink,72.8,68.7,1.0596797671033478,5001.36,50.0136,32.6,19.0,6.4,56,,,,,,,1.0,33.0,8.78698224852071,1613.9,48.906060606060606,,,,,,,,,,,,,,169,0,,,,,,159,9,19.518833333333337
15,32,I.atropurpurea,NET,2023-02-26,13,14,56,3,NET_56.3,Pink,70.4,63.3,1.1121642969984205,4456.32,44.56320000000001,30.3,12.3,13.9,56,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,170,0,,,,,,162,2,38.3147
16,42,I.atropurpurea,NET,2023-03-05,20,21,56,4,NET_56.4,Pink,52.0,54.4,0.9558823529411765,2828.7999999999997,28.287999999999997,24.7,12.3,6.5,56,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,172,0,,,,,,163,1,33.6111
17,43,I.atropurpurea,NET,2023-03-05,20,21,56,5,NET_56.5,Pink,52.4,58.3,0.8987993138936535,3054.9199999999996,30.549200000000003,,,,56,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,177,0,,,,,,165,1,37.1952
18,15,I.atropurpurea,NET,2023-02-21,8,9,73,1,NET_73.1,Pink,86.5,74.5,1.1610738255033557,6444.25,64.44250000000001,30.3,18.8,7.3,73,1.0,1.0,0.0,1.0,0.0,1.0,1.0,43.0,11.449704142011834,1102.1,25.630232558139532,1.0,7.627118644067798,15.723570308552464,,,,,,,,,,,179,0,,,,,,169,1,35.748000000000005
19,16,I.atropurpurea,NET,2023-02-21,8,9,77,1,NET_77.1,Orange,79.0,65.0,1.2153846153846153,5135.0,51.35,33.7,15.0,8.3,77,9.0,2.0,7.0,1.0,3.0,4.0,1.0,6.0,1.5976331360946745,272.3,45.38333333333333,0.4444444444444444,3.3898305084745766,6.988253470467761,,,,,,,,,,,183,0,,,,,,170,1,39.3
20,17,I.atropurpurea,NET,2023-02-21,8,9,77,2,NET_77.2,Orange,89.1,89.4,0.9966442953020133,7965.54,79.65540000000001,34.0,17.8,8.1,77,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,184,0,,,,,,172,1,66.0951
21,18,I.atropurpurea,NET,2023-02-21,8,9,80,1,NET_80.1,Orange,74.5,61.4,1.213355048859935,4574.3,45.743,28.3,18.0,8.0,80,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,185,0,,,,,,177,2,45.14855
22,51,I.atropurpurea,NET,2023-03-12,27,28,87,1,NET_87.1,Blue,58.9,45.3,1.3002207505518764,2668.1699999999996,26.681699999999996,27.0,11.2,10.9,87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,186,0,,,,,,179,2,35.59205
23,25,I.atropurpurea,NET,2023-02-26,13,14,104,1,NET_104.1,Blue,75.9,61.4,1.236156351791531,4660.26,46.6026,29.5,14.0,9.0,104,4.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,187,0,,,,,,183,2,35.013450000000006
24,26,I.atropurpurea,NET,2023-02-26,13,14,104,2,NET_104.2,Blue,64.9,70.0,0.9271428571428573,4543.0,45.43,,,,104,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,188,27,,,,,,184,6,38.318075
25,38,I.atropurpurea,NET,2023-03-05,20,21,115,1,NET_115.1,Blue,62.0,44.9,1.380846325167038,2783.7999999999997,27.838,21.8,14.1,5.8,115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,189,13,,,,,,185,1,32.264
26,27,I.atropurpurea,NET,2023-02-26,13,14,116,1,NET_116.1,Blue,77.0,71.7,1.0739191073919108,5520.900000000001,55.209,32.4,16.8,5.8,116,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,190,34,,,,,,186,1,52.7072
27,1,I.atropurpurea,NET,2023-02-13,0,1,130,1,NET_130.1,Brown,75.5,67.0,1.126865671641791,5058.5,50.585,,,,130,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,191,11,,,,,,187,4,43.368925
28,40,I.atropurpurea,NET,2023-03-05,20,21,144,1,NET_144.1,Orange,64.7,67.9,0.9528718703976435,4393.13,43.93130000000001,29.7,12.7,7.0,144,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,192,47,,,,,,188,2,38.08
29,45,I.atropurpurea,NET,2023-03-05,20,21,156,1,NET_156.1,Green,65.5,58.2,1.1254295532646048,3812.1000000000004,38.121,34.2,12.0,8.6,156,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,193,0,,,,,,189,5,31.645699999999998
30,22,I.atropurpurea,NET,2023-02-21,8,9,158,1,NET_158.1,Blue,63.4,64.8,0.9783950617283951,4108.32,41.0832,32.2,16.7,7.0,158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,194,0,,,,,,190,3,34.439099999999996
31,21,I.atropurpurea,NET,2023-02-21,8,9,162,1,NET_162.1,Blue,77.4,66.9,1.15695067264574,5178.06,51.78060000000001,26.5,10.0,6.2,162,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,195,14,,,,,,191,5,35.23832
32,28,I.atropurpurea,NET,2023-02-26,13,14,162,2,NET_162.2,Blue,66.7,64.7,1.0309119010819165,4315.490000000001,43.154900000000005,28.1,15.7,8.4,162,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,196,0,,,,,,192,2,47.2834
33,2,I.atropurpurea,NET,2023-02-13,0,1,165,1,NET_165.1,Blue,81.4,71.4,1.1400560224089635,5811.960000000001,58.119600000000005,26.2,15.1,8.2,165,6.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.2711864406779663,2.6205950514254104,,,,,,,,,,,197,0,,,,,,193,4,42.147325
34,3,I.atropurpurea,NET,2023-02-13,0,1,165,2,NET_165.2,Blue,51.2,64.4,0.7950310559006211,3297.2800000000007,32.9728,27.0,15.0,7.4,165,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,198,0,,,,,,194,3,46.836166666666664
35,4,I.atropurpurea,NET,2023-02-13,0,1,165,3,NET_165.3,Blue,62.0,54.7,1.1334552102376598,3391.4,33.914,26.0,14.6,7.7,165,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,199,0,,,,,,195,6,29.98436666666667
36,20,I.atropurpurea,NET,2023-02-21,8,9,165,4,NET_165.4,Blue,26.7,15.8,1.6898734177215189,421.86,4.2186,,,,165,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,200,0,,,,,,196,3,30.875
37,39,I.atropurpurea,NET,2023-03-05,20,21,174,1,NET_174.1,Blue,55.2,58.0,0.9517241379310345,3201.6000000000004,32.016,24.0,12.7,7.9,174,3.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.7988165680473372,104.1,34.699999999999996,0.3333333333333333,2.5423728813559325,5.241190102850821,,,,,,,,,,,201,0,,,,,,197,4,42.903675
38,29,I.atropurpurea,NET,2023-02-26,13,14,175,1,NET_175.1,Blue,77.8,67.1,1.15946348733234,5220.379999999999,52.20379999999999,33.1,14.1,8.8,175,4.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,1.331360946745562,220.5,44.1,0.25,1.9067796610169494,3.930892577138116,,,,,,,,,,,202,0,,,,,,198,1,55.485200000000006
39,30,I.atropurpurea,NET,2023-02-26,13,14,175,2,NET_175.2,Blue,64.1,64.2,0.9984423676012459,4115.22,41.15219999999999,33.8,18.9,10.2,175,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,203,0,,,,,,199,2,40.489599999999996
