Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
1,23,I.atropurpurea,NET,2023-02-26,3,1,63.4,55.0,1.1527272727272726,3487.0,34.87,,,,92803+92820,"1C, F eaten",3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24,I.atropurpurea,NET,2023-02-26,10,1,96.0,78.5,1.2229299363057324,7536.0,75.36,31.6,11.1,7.4,93612,,3.0,2.0,1.0,1.0,0.0,1.0,1.0,14.0,1008.5,72.03571428571429
3,36,I.atropurpurea,NET,2023-03-05,10,2,77.1,63.4,1.2160883280757098,4888.139999999999,48.88139999999999,26.7,14.0,8.8,93157,Numbers in pics,,,,,,,0.0,0.0,0.0,0.0
4,46,I.atropurpurea,NET,2023-03-05,29,1,61.0,57.2,1.0664335664335665,3489.2000000000003,34.892,,,,123139,5C,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,35,I.atropurpurea,NET,2023-02-26,34,1,62.5,59.7,1.0469011725293131,3731.25,37.31250000000001,31.0,12.5,6.6,134903,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44,I.atropurpurea,NET,2023-03-05,47,1,57.5,53.4,1.0767790262172285,3070.5,30.705,,,,113524,,6.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,13,I.atropurpurea,NET,2023-02-21,49,1,74.6,65.7,1.1354642313546421,4901.22,49.0122,26.0,17.3,7.2,104813,C,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,I.atropurpurea,NET,2023-02-21,51,1,89.7,75.0,1.196,6727.5,67.275,32.8,17.2,11.9,103717,,18.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,I.atropurpurea,NET,2023-02-21,51,2,88.4,73.2,1.2076502732240437,6470.880000000001,64.7088,31.5,17.8,9.9,103751,,,,,,,,0.0,0.0,0.0,0.0
10,11,I.atropurpurea,NET,2023-02-21,51,3,76.6,77.8,0.9845758354755784,5959.48,59.59479999999999,31.5,18.0,1.1, - Cut,,,,,,,,0.0,0.0,0.0,0.0
11,12,I.atropurpurea,NET,2023-02-21,51,4,98.2,81.5,1.2049079754601226,8003.3,80.033,35.0,18.5,12.1,103824,,,,,,,,0.0,0.0,0.0,0.0
