S.No.,date,day,population,area,genotype_id,Flower_id,treatment,length_mm,width_mm,ratio_len_wid,Flower_size,tunnel_length,entr_length,entr_height,tunnel_volume_cm,bp_area,fruit,seed,seed_weight
1,2024-02-07,1,NET,BLUE,N119,119.1,CONTROL,100.6,81.5,1.2343558282208589,81.98899999999999,34.1,14.1,8.9,4.279209,8.166,1.0,8.0,0.34
2,2024-02-07,1,NET,BROWN,N185,185.1,SUPP,84.0,77.2,1.088082901554404,64.848,33.6,11.6,7.8,3.0401279999999997,7.224,1.0,55.0,2.1
3,2024-02-07,1,NET,RED,N186,186.1,CONTROL,94.5,72.5,1.303448275862069,68.5125,31.0,16.2,8.9,4.46958,7.652,1.0,39.0,1.0
4,2024-02-07,1,NET,RED,N186,186.2,CONTROL,91.5,70.5,1.297872340425532,64.5075,28.0,11.8,7.9,2.6101600000000005,7.958,0.0,0.0,
5,2024-02-07,1,NET,GREEN,N187,187.1,CONTROL,95.1,71.1,1.3375527426160339,67.61609999999999,31.4,16.8,7.7,4.061904,5.656,0.0,0.0,
6,2024-02-07,1,NET,GREEN,N188,188.1,CONTROL,92.8,76.4,1.2146596858638743,70.89920000000001,31.5,14.4,8.7,3.9463199999999996,6.947,0.0,0.0,
7,2024-02-07,1,NET,GREEN,N188,188.2,CONTROL,74.1,71.4,1.03781512605042,52.907399999999996,31.5,14.6,5.8,2.6674199999999995,9.572,1.0,21.0,0.8
8,2024-02-07,1,NET,GREEN,N188,188.3,CONTROL,78.7,74.8,1.0521390374331552,58.8676,30.7,13.5,9.3,3.854385,7.501,1.0,30.0,1.12
9,2024-02-07,1,NET,GREEN,N188,188.4,CONTROL,78.2,60.1,1.3011647254575707,46.998200000000004,28.1,11.0,10.4,3.21464,7.588,0.0,0.0,
10,2024-02-11,5,NET,BLUE,N007,7.1,CONTROL,65.9,58.5,1.1264957264957265,38.551500000000004,31.5,14.7,9.2,4.260059999999999,7.778,1.0,15.0,0.8
11,2024-02-11,5,NET,BLUE,N189,189.1,CONTROL,82.2,68.6,1.1982507288629738,56.3892,31.0,13.7,7.3,3.10031,11.262,0.0,0.0,
12,2024-02-11,5,NET,BLUE,N189,189.2,CONTROL,73.6,63.7,1.1554160125588695,46.883199999999995,30.2,11.1,8.9,2.9834579999999997,10.557,1.0,9.0,0.4
13,2024-02-11,5,NET,BLUE,N190,190.1,CONTROL,90.4,75.6,1.195767195767196,68.3424,30.9,15.6,10.0,4.820399999999999,6.996,1.0,16.0,0.66
14,2024-02-11,5,NET,BLUE,N122,122.1,SUPP,75.1,59.6,1.2600671140939597,44.7596,33.6,11.2,7.8,2.9352959999999997,8.043,0.0,0.0,
15,2024-02-11,5,NET,ORANGE,N902,902.1,SUPP,78.1,64.7,1.2071097372488406,50.530699999999996,34.0,17.4,10.1,5.975159999999999,5.978,1.0,6.0,0.1
16,2024-02-11,5,NET,PINK,N055,55.1,CONTROL,75.1,59.4,1.2643097643097643,44.609399999999994,31.7,11.0,8.7,3.0336899999999996,6.016,0.0,0.0,
