Genotype,Population,Treatment,total_flower,Marked_flower,Unmarked_flower,Supp_flower,Marked_fruit,Unmarked_fruit,Total_fruit,Average of Flower_size,Average of tunnel_volume_cm,Average of bp_area,Fruitset_total,Fruitset_marked,Sum of seed_marked,Seeds_unmarked,Total_seed
K135,KUR,CONTROL,4,1,3,0,1,1.0,2.0,29.632400000000004,3.71606,6.59,0.5,1.0,8.0,,
K136,KUR,CONTROL,2,2,0,0,0,0.0,0.0,45.224000000000004,4.29786,8.1345,0.0,0.0,0.0,0.0,0.0
K139,KUR,CONTROL,6,1,5,0,1,1.0,2.0,36.642,3.1534649999999997,7.903,0.3333333333333333,1.0,19.0,,
K140,KUR,CONTROL,11,5,6,0,4,2.0,6.0,36.019079999999995,3.3880752000000003,6.9836,0.5454545454545454,0.8,117.0,54.0,171.0
K142,KUR,CONTROL,4,1,3,0,0,0.0,0.0,51.3162,3.6114960000000007,7.445,0.0,0.0,0.0,0.0,0.0
K147,KUR,CONTROL,5,4,1,0,3,1.0,4.0,42.92665,3.601684,6.58775,0.8,0.75,54.0,9.0,63.0
K155,KUR,CONTROL,1,1,0,0,1,0.0,1.0,34.7259,3.63258,7.652,1.0,1.0,40.0,0.0,40.0
K157,KUR,CONTROL,1,1,0,0,0,1.0,1.0,40.566900000000004,4.086082,7.841,1.0,0.0,0.0,30.0,30.0
K159,KUR,CONTROL,10,5,5,0,2,0.0,2.0,24.03904,2.08521,7.7836,0.2,0.4,15.0,0.0,15.0
K168,KUR,CONTROL,16,10,6,0,6,3.0,9.0,34.77956,2.7828696,8.1333,0.5625,0.6,66.0,143.0,209.0
K169,KUR,CONTROL,2,1,1,0,1,0.0,1.0,45.06719999999999,2.86296,11.481,0.5,1.0,7.0,0.0,7.0
K172,KUR,CONTROL,1,1,0,0,0,1.0,1.0,51.07630000000001,2.556036,11.784,1.0,0.0,0.0,2.0,2.0
K173,KUR,CONTROL,12,3,9,0,1,1.0,2.0,38.09396666666667,3.6731146666666667,6.422666666666667,0.16666666666666666,0.3333333333333333,26.0,53.0,79.0
K175,KUR,CONTROL,4,1,3,0,0,3.0,3.0,35.664199999999994,3.7772490000000003,7.526,0.75,0.0,0.0,52.0,52.0
K179,KUR,CONTROL,19,9,10,0,2,1.0,3.0,35.18156666666667,4.16010911111111,7.33222222222222,0.15789473684210525,0.2222222222222222,4.0,61.0,65.0
K180,KUR,CONTROL,2,2,0,0,1,0.0,1.0,34.5205,4.012722,7.6505,0.5,0.5,44.0,0.0,44.0
K184,KUR,CONTROL,16,2,14,0,2,1.0,3.0,39.39575,1.954228,7.7995,0.1875,1.0,14.0,,
K185,KUR,CONTROL,7,3,4,0,2,1.0,3.0,27.648833333333332,2.426432,8.344,0.42857142857142855,0.6666666666666666,7.0,5.0,12.0
K187,KUR,CONTROL,7,4,3,0,0,1.0,1.0,42.40715,4.657213333333333,7.86525,0.14285714285714285,0.0,0.0,6.0,6.0
K188,KUR,CONTROL,30,13,17,0,2,3.0,5.0,44.216307692307694,3.8415574615384616,8.00523076923077,0.16666666666666666,0.15384615384615385,64.0,69.0,133.0
K189,KUR,CONTROL,5,2,3,0,1,1.0,2.0,32.2188,3.4663580000000005,7.0655,0.4,0.5,16.0,,
K191,KUR,CONTROL,9,6,3,0,1,1.0,2.0,35.43238333333334,2.466846,8.881333333333334,0.2222222222222222,0.16666666666666666,5.0,28.0,33.0
K192,KUR,CONTROL,2,2,0,0,0,1.0,1.0,47.5698,3.9192204999999998,8.161,0.5,0.0,0.0,41.0,41.0
K193,KUR,CONTROL,8,6,2,0,2,0.0,2.0,50.52076666666667,4.076912833333332,8.099499999999999,0.25,0.3333333333333333,72.0,0.0,72.0
K196,KUR,CONTROL,11,4,7,0,4,0.0,4.0,36.780675,3.75203175,7.484,0.36363636363636365,1.0,131.0,0.0,131.0
K197,KUR,CONTROL,9,3,6,0,3,2.0,5.0,39.476533333333336,3.318421,8.049,0.5555555555555556,1.0,36.0,32.0,68.0
K199,KUR,CONTROL,15,5,10,0,1,1.0,2.0,33.84504,3.0063536000000006,10.402800000000001,0.13333333333333333,0.2,2.0,53.0,55.0
K201,KUR,CONTROL,16,2,14,0,1,1.0,2.0,43.30625,3.1658220000000004,7.1965,0.125,0.5,3.0,18.0,21.0
K202,KUR,CONTROL,13,7,6,0,3,2.0,5.0,46.393885714285716,5.026607714285714,7.864571428571429,0.38461538461538464,0.42857142857142855,84.0,66.0,150.0
K203,KUR,CONTROL,7,1,6,0,0,0.0,0.0,26.676,1.58137,8.207,0.0,0.0,0.0,0.0,0.0
K204,KUR,CONTROL,6,2,4,0,1,2.0,3.0,51.8103,4.329655000000001,5.1775,0.5,0.5,28.0,67.0,95.0
K207,KUR,CONTROL,2,1,1,0,0,0.0,0.0,49.348800000000004,3.53675,5.452,0.0,0.0,0.0,0.0,0.0
K210,KUR,CONTROL,28,13,15,3,7,0.0,7.0,43.511130769230775,3.6485654615384613,6.752769230769232,0.25,0.5384615384615384,168.0,0.0,168.0
K211,KUR,CONTROL,3,3,0,0,0,1.0,1.0,47.000433333333326,4.413625,7.811666666666667,0.3333333333333333,0.0,0.0,102.0,102.0
