Row Labels,Sum of fruit,Sum of seed,Average of tunnel_volume_cm,Average of bp_area,Average of Flower_size
K135,1.0,8.0,3.71606,6.59,29.632400000000004
K136,0.0,0.0,4.29786,8.1345,45.224000000000004
K139,1.0,19.0,3.1534649999999997,7.903,36.642
K140,4.0,117.0,3.3880752000000003,6.9836,36.019079999999995
K142,0.0,0.0,3.6114960000000007,7.445,51.3162
K147,3.0,54.0,3.601684,6.58775,42.92665
K155,1.0,40.0,3.63258,7.652,34.7259
K157,0.0,0.0,4.086082,7.841,40.566900000000004
K159,2.0,15.0,2.08521,7.7836,24.03904
K168,6.0,66.0,2.7828696,8.1333,34.77956
K169,1.0,7.0,2.86296,11.481,45.06719999999999
K172,0.0,0.0,2.556036,11.784,51.07630000000001
K173,1.0,26.0,3.6731146666666667,6.422666666666667,38.09396666666667
K175,0.0,0.0,3.7772490000000003,7.526,35.664199999999994
K179,2.0,4.0,4.16010911111111,7.33222222222222,35.18156666666667
K180,1.0,44.0,4.012722,7.6505,34.5205
K184,2.0,14.0,1.954228,7.7995,39.39575
K185,2.0,7.0,2.426432,8.344,27.648833333333332
K187,0.0,0.0,4.657213333333333,7.86525,42.40715
K188,2.0,64.0,3.8415574615384616,8.00523076923077,44.216307692307694
K189,1.0,16.0,3.4663580000000005,7.0655,32.2188
K191,1.0,33.0,2.466846,8.881333333333334,35.43238333333334
K192,0.0,0.0,3.9192204999999998,8.161,47.5698
K193,2.0,72.0,4.076912833333332,8.099499999999999,50.52076666666667
K196,4.0,131.0,3.75203175,7.484,36.780675
K197,3.0,36.0,3.318421,8.049,39.476533333333336
K199,1.0,2.0,3.0063536000000006,10.402800000000001,33.84504
K201,1.0,21.0,3.1658220000000004,7.1965,43.30625
K202,3.0,84.0,5.026607714285714,7.864571428571429,46.393885714285716
K203,0.0,0.0,1.58137,8.207,26.676
K204,1.0,28.0,4.329655000000001,5.1775,51.8103
K207,0.0,0.0,3.53675,5.452,49.348800000000004
K210,7.0,168.0,3.6485654615384613,6.752769230769232,43.511130769230775
K211,0.0,0.0,4.413625,7.811666666666667,47.000433333333326
K212,2.0,30.0,3.486394333333333,7.852666666666667,52.78403333333333
K213,1.0,3.0,3.4382145,5.7765,33.4634
K214,0.0,0.0,3.1990605,7.427,42.8232
K215,3.0,65.0,3.7568836000000005,7.610200000000001,38.078199999999995
K215b,1.0,48.0,3.96774,7.998,50.77799999999999
K216,2.0,19.0,3.1459413333333335,7.851666666666667,43.38936666666666
K217,6.0,113.0,2.2014000833333336,6.973000000000002,42.84049166666667
K218,5.0,25.0,3.2467473333333334,6.546833333333333,41.446000000000005
K219,1.0,46.0,3.200031,10.3045,46.151650000000004
K220,1.0,18.0,3.0993239999999997,8.485,27.4122
K221,2.0,47.0,2.9983796666666667,8.3695,37.34515
K222,0.0,0.0,2.536304,5.735333333333334,24.502266666666667
N006,1.0,3.0,3.9097800000000005,9.664,51.68240000000001
N007,1.0,15.0,4.260059999999999,7.778,38.551500000000004
N012,4.0,127.0,3.1151504,7.260800000000001,51.282619999999994
N016,0.0,0.0,2.425437,6.292,45.17100000000001
N017,1.0,7.0,3.256407,6.314,31.956599999999998
N041,0.0,0.0,3.643124,8.401,48.00314999999999
N043,2.0,67.0,4.1687425000000005,9.001000000000001,47.699299999999994
N049,0.0,0.0,3.1770899999999997,8.519,32.986799999999995
N050,1.0,32.0,2.808479,8.316666666666666,40.17633333333333
N051,0.0,0.0,5.649018000000001,7.521,48.78566666666666
N055,1.0,26.0,2.9062175,6.1205,43.9097
N056,4.0,62.0,2.4268516,7.588000000000001,39.154039999999995
N073,1.0,58.0,3.007056,8.771,35.7294
N075,1.0,8.0,4.25776,6.492,75.9096
N077,0.0,0.0,3.3657779999999997,6.3294999999999995,47.517799999999994
N090,1.0,34.0,1.8327869999999997,7.489,45.9795
N098,1.0,2.0,2.556036,10.928,45.966
N103,1.0,39.0,1.978792,11.095,30.6747
N111,0.0,0.0,4.92147,10.043,52.713
N119,1.0,8.0,4.279209,8.166,81.98899999999999
N122,0.0,0.0,2.9352959999999997,8.043,44.7596
N131,2.0,17.0,3.5520826666666667,8.232666666666667,49.79986666666667
N167,1.0,23.0,5.260140000000001,7.153,81.08359999999999
N170,1.0,29.0,2.242,8.234,38.223
N177,0.0,0.0,2.4544,6.201,54.416
N178,1.0,44.0,4.581713,7.4254999999999995,65.39985
N181,1.0,2.0,2.0394,6.967,40.4766
N185,1.0,55.0,3.0401279999999997,7.224,64.848
N186,2.0,60.0,3.9429266666666662,7.669,64.05766666666666
N187,2.0,45.0,4.556602,6.947999999999999,64.48946
N188,5.0,81.0,3.7565996249999998,7.929374999999999,56.74620000000001
N189,3.0,25.0,3.0503629999999995,10.43,50.83265
N190,3.0,41.0,3.5818157999999998,8.3992,55.46036
N191,4.0,133.0,4.138901888888889,8.793666666666667,49.197488888888884
N192,5.0,101.0,4.408214142857142,6.799857142857142,50.08268571428572
N193,4.0,56.0,3.8903466250000003,7.050375,55.7784
N194,2.0,34.0,4.578324,9.444749999999999,54.49385
N195,2.0,7.0,5.360754,9.019666666666666,67.06466666666667
N196,1.0,0.0,4.506124,8.596,52.4692
N197,2.0,28.0,4.318484,8.987,82.64580000000001
N198,6.0,48.0,3.0885102499999997,8.484749999999998,64.09994999999999
N199,0.0,0.0,3.0253310000000004,7.9719999999999995,47.00155
N200,2.0,9.0,3.6955266666666664,7.735333333333334,37.61806666666667
N234,0.0,0.0,6.671280000000001,9.588,59.5584
N900,0.0,0.0,2.75184,8.832,31.7393
N902,1.0,6.0,5.975159999999999,5.978,50.530699999999996
N906,0.0,0.0,3.3733,7.508,58.547999999999995
N910,0.0,0.0,3.4329400000000003,6.043,46.99139999999999
(blank),,,,,
Grand Total,149.0,2822.0,3.553537717171717,7.80686754966887,45.47655364238409
